8780,7600,10277,8780,7600,10277,8780,7600,10277,8780,7600,10277
8741,7600,10260,8741,7600,10260,8741,7600,10260,8741,7600,10260
8701,7600,10243,8701,7600,10243,8701,7600,10243,8701,7600,10243
8662,7600,10225,8662,7600,10225,8662,7600,10225,8662,7600,10225
8622,7600,10207,8622,7600,10207,8622,7600,10207,8622,7600,10207
8583,7600,10188,8583,7600,10188,8583,7600,10188,8583,7600,10188
8544,7600,10169,8544,7600,10169,8544,7600,10169,8544,7600,10169
8505,7600,10150,8505,7600,10150,8505,7600,10150,8505,7600,10150
8466,7600,10130,8466,7600,10130,8466,7600,10130,8466,7600,10130
8428,7600,10110,8428,7600,10110,8428,7600,10110,8428,7600,10110
